date;open;close;high;low;vwap
2021-05-21;127.82;125.43;128.0;125.21;126.21333
2021-05-20;125.23;127.31;127.72;125.1;126.71
2021-05-19;123.16;124.69;124.92;122.88;124.16333
2021-05-18;126.56;124.85;126.99;124.78;125.54
2021-05-17;126.82;126.27;126.92;125.17;126.12
2021-05-14;126.25;127.45;127.89;125.85;127.06333
2021-05-13;124.58;124.97;126.15;124.26;125.12667
2021-05-12;123.4;122.77;124.64;122.25;123.22
2021-05-11;123.5;125.91;126.27;122.77;124.98333
2021-05-10;129.41;126.85;129.54;126.81;127.73333
2021-05-07;130.85;130.21;131.26;129.48;130.31667
2021-05-06;127.89;129.74;129.75;127.13;128.87333
2021-05-05;129.2;128.1;130.45;127.97;128.84
2021-05-04;131.19;127.85;131.49;126.7;128.68
2021-05-03;132.04;132.54;134.07;131.83;132.81333
2021-04-30;131.78;131.46;133.56;131.07;132.03
2021-04-29;136.47;133.48;137.07;132.45;134.33333
2021-04-28;134.31;133.58;135.02;133.08;133.89333
2021-04-27;135.01;134.39;135.41;134.11;134.63667
2021-04-26;134.83;134.72;135.06;133.56;134.44667
2021-04-23;132.16;134.32;135.12;132.16;133.86667
2021-04-22;133.04;131.94;134.15;131.41;132.5
2021-04-21;132.36;133.5;133.75;131.3;132.85
2021-04-20;135.02;133.11;135.53;131.81;133.48333
2021-04-19;133.51;134.84;135.47;133.34;134.55
2021-04-16;134.3;134.16;134.67;133.28;134.03667
2021-04-15;133.82;134.5;135.0;133.64;134.38
2021-04-14;134.940002;132.029999;135.0;131.660004;132.89667
2021-04-13;132.440002;134.429993;134.660004;131.929993;133.67333
2021-04-12;132.520004;131.240005;132.850006;130.630005;131.57334
2021-04-09;129.800003;133.0;133.039993;129.470001;131.83666
2021-04-08;128.949997;130.360001;130.389999;128.520004;129.75667
2021-04-07;125.830002;127.900002;127.919998;125.139999;126.98667
2021-04-06;126.5;126.209999;127.129997;125.650002;126.33
2021-04-05;123.870003;125.900002;126.160004;123.07;125.04334
2021-04-01;123.660004;123.0;124.18;122.489998;123.22333
2021-03-31;121.650002;122.150002;123.519997;121.150002;122.27333
2021-03-30;120.110001;119.900002;120.400002;118.860001;119.72
2021-03-29;121.650002;121.389999;122.580002;120.730003;121.56667
2021-03-26;120.349998;121.209999;121.480003;118.919998;120.53667
2021-03-25;119.540001;120.589996;121.660004;119.0;120.41667
